Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,105649,CHN,M,MA Long,3430,3412,0,1,2017
2,2,121404,CHN,M,FAN Zhendong,3272,3260,0,1,2017
3,3,110267,CHN,M,XU Xin,3177,3179,0,1,2017
4,4,110553,CHN,M,ZHANG Jike,3082,3118,0,1,2017
5,5,106195,JPN,M,MIZUTANI Jun,2982,3003,0,1,2017
6,6,107028,GER,M,OVTCHAROV Dimitrij,2913,2910,0,1,2017
7,7,112620,HKG,M,WONG Chun Ting,2834,2822,0,1,2017
8,8,108246,BLR,M,SAMSONOV Vladimir,2751,2772,0,1,2017
9,10,104257,KOR,M,JEOUNG Youngsik,2729,2658,0,1,2017
10,9,101820,TPE,M,CHUANG Chih-Yuan,2708,2709,0,1,2017
11,11,101222,GER,M,BOLL Timo,2634,2634,0,1,2017
12,13,111606,CHN,M,FANG Bo,2588,2588,0,1,2017
13,12,102841,POR,M,FREITAS Marcos,2569,2593,0,1,2017
14,16,112062,FRA,M,GAUZY Simon,2543,2543,0,1,2017
15,14,105197,KOR,M,LEE Sangsu,2530,2554,0,1,2017
16,17,110729,JPN,M,NIWA Koki,2527,2528,0,1,2017
17,18,105926,JPN,M,MATSUDAIRA Kenta,2522,2502,0,1,2017
18,19,109253,HKG,M,TANG Peng,2519,2498,0,1,2017
19,20,102697,AUT,M,FEGERL Stefan,2495,2495,0,1,2017
20,21,115641,BRA,M,CALDERANO Hugo,2490,2490,0,1,2017
21,31,115439,JPN,M,MURAMATSU Yuto,2464,2412,0,1,2017
22,22,100621,POR,M,APOLONIA Tiago,2460,2460,0,1,2017
22,22,108958,GER,M,STEGER Bastian,2460,2460,0,1,2017
24,24,104379,SWE,M,KARLSSON Kristian,2452,2452,0,1,2017
25,29,101648,TPE,M,CHEN Chien-An,2446,2423,0,1,2017
25,25,112092,NGR,M,ARUNA Quadri,2446,2446,0,1,2017
25,25,102891,CRO,M,GACINA Andrej,2446,2446,0,1,2017
28,27,117113,JPN,M,YOSHIMURA Maharu,2436,2436,0,1,2017
29,28,112074,SWE,M,FALCK Mattias,2427,2427,0,1,2017
