Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,117332,CHN,W,ZHU Yuling,16224,16269,0,12,2018
2,2,102265,CHN,W,DING Ning,15939,15984,0,12,2018
3,3,110752,JPN,W,ISHIKAWA Kasumi,15248,15263,0,12,2018
4,4,112019,CHN,W,CHEN Meng,15194,15014,0,12,2018
5,5,121411,CHN,W,WANG Manyu,14880,14430,0,12,2018
6,6,105482,CHN,W,LIU Shiwen,14589,13914,0,12,2018
7,7,117821,JPN,W,ITO Mima,14135,13910,0,12,2018
8,8,110797,TPE,W,CHENG I-Ching,13546,13231,0,12,2018
9,9,117820,JPN,W,HIRANO Miu,13065,13013,0,12,2018
10,11,102712,SGP,W,FENG Tianwei,12835,12565,0,12,2018
11,12,108470,KOR,W,SUH Hyowon,12095,12209,0,12,2018
12,10,121403,CHN,W,CHEN Xingtong,11940,12594,0,12,2018
13,14,115543,HKG,W,DOO Hoi Kem,11811,11700,0,12,2018
14,13,122261,JPN,W,SATO Hitomi,11628,11898,0,12,2018
15,15,107477,AUT,W,POLCANOVA Sofia,11104,11263,0,12,2018
16,16,118994,KOR,W,JEON Jihee,10774,10684,0,12,2018
17,17,123848,JPN,W,SHIBATA Saki,10512,10512,0,12,2018
18,19,111012,ROU,W,SZOCS Bernadette,10392,10122,0,12,2018
19,23,110560,CAN,W,ZHANG Mo,10237,9787,0,12,2018
20,22,108226,ROU,W,SAMARA Elizabeta,10144,9808,0,12,2018
21,31,115781,PRK,W,KIM Song I,10114,8689,0,12,2018
22,20,117822,JPN,W,KATO Miyu,9924,10014,0,12,2018
23,21,111772,NED,W,LI Jie,9896,9896,0,12,2018
24,25,114105,TPE,W,CHEN Szu-Yu,9733,9397,0,12,2018
25,35,131163,CHN,W,SUN Yingsha,9571,8221,0,12,2018
26,29,133000,JPN,W,HASHIMOTO Honoka,9477,8937,0,12,2018
27,27,105159,HKG,W,LEE Ho Ching,9045,8994,0,12,2018
28,44,111065,GER,W,SOLJA Petrissa,8959,7309,0,12,2018
29,34,118762,GER,W,HAN Ying,8910,8348,0,12,2018
30,26,102472,SWE,W,EKHOLM Matilda,8819,9359,0,12,2018
31,28,112368,KOR,W,YANG Haeun,8769,8973,0,12,2018
32,24,111882,POL,W,LI Qian,8689,9659,0,12,2018
33,42,115009,PUR,W,DIAZ Adriana,8629,7504,0,12,2018
34,30,123672,JPN,W,HAYATA Hina,8498,8723,0,12,2018
35,32,111833,THA,W,SAWETTABUT Suthasini,8461,8461,0,12,2018
36,33,107525,HUN,W,POTA Georgina,8410,8410,0,12,2018
37,37,124591,JPN,W,NAGASAKI Miyu,8103,8160,0,12,2018
37,36,102863,POR,W,YU ^ Fu,8103,8217,0,12,2018
39,41,123847,JPN,W,ANDO Minami,8088,7662,0,12,2018
40,38,115037,HKG,W,SOO Wai Yam Minnie,7924,8014,0,12,2018
41,39,113701,NED,W,EERLAND Britt,7882,7882,0,12,2018
42,18,115760,CHN,W,GU Yuting,7779,10368,0,12,2018
43,40,111628,SGP,W,YU Mengyu,7724,7769,0,12,2018
44,45,106114,RUS,W,MIKHAILOVA Polina,7330,7060,0,12,2018
45,57,106660,HKG,W,NG Wing Nam,7200,6325,0,12,2018
46,50,110227,USA,W,WU Yue,7161,6891,0,12,2018
47,43,111656,EGY,W,MESHREF Dina,7105,7339,0,12,2018
48,46,106706,LUX,W,NI Xia Lian,7095,7050,0,12,2018
