Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,112019,CHN,W,CHEN Meng,17915,17015,14,0,2020
2,3,117821,JPN,W,ITO Mima,15440,15080,14,0,2020
3,2,131163,CHN,W,SUN Yingsha,15165,15460,14,0,2020
4,5,105482,CHN,W,LIU Shiwen,13725,14400,14,0,2020
5,4,121411,CHN,W,WANG Manyu,13640,14425,14,0,2020
6,6,102265,CHN,W,DING Ning,13450,13450,14,0,2020
7,7,117332,CHN,W,ZHU Yuling,13240,13015,14,0,2020
8,8,110797,TPE,W,CHENG I-Ching,11455,11455,14,0,2020
9,9,102712,SGP,W,FENG Tianwei,11100,11100,14,0,2020
9,9,110752,JPN,W,ISHIKAWA Kasumi,11100,11100,14,0,2020
11,11,117820,JPN,W,HIRANO Miu,10815,10815,14,0,2020
12,12,124110,CHN,W,WANG Yidi,10435,10435,14,0,2020
13,13,121403,CHN,W,CHEN Xingtong,10370,10145,14,0,2020
14,15,107477,AUT,W,POLCANOVA Sofia,9095,9095,14,0,2020
15,14,115543,HKG,W,DOO Hoi Kem,9060,9240,14,0,2020
16,16,118994,KOR,W,JEON Jihee,9020,9020,14,0,2020
17,18,122261,JPN,W,SATO Hitomi,8800,8600,14,0,2020
18,17,119730,CHN,W,HE Zhuojia,8255,8660,14,0,2020
19,19,115009,PUR,W,DIAZ Adriana,8090,8090,14,0,2020
20,20,111065,GER,W,SOLJA Petrissa,8080,8080,14,0,2020
21,24,119797,CHN,W,QIAN Tianyi,7660,7300,14,0,2020
22,21,117822,JPN,W,KATO Miyu,7470,7625,14,0,2020
23,25,108470,KOR,W,SUH Hyowon,7265,7265,14,0,2020
24,26,111012,ROU,W,SZOCS Bernadette,7260,7260,14,0,2020
25,22,118762,GER,W,HAN Ying,7175,7535,14,0,2020
26,27,114105,TPE,W,CHEN Szu-Yu,7015,7015,14,0,2020
27,28,112221,USA,W,ZHANG Lily,7005,7005,14,0,2020
28,29,115037,HKG,W,SOO Wai Yam Minnie,6930,6930,14,0,2020
29,23,123672,JPN,W,HAYATA Hina,6895,7320,14,0,2020
30,30,113701,NED,W,EERLAND Britt,6775,6775,14,0,2020
31,34,108226,ROU,W,SAMARA Elizabeta,6700,6475,14,0,2020
32,31,110227,USA,W,WU Yue,6480,6590,14,0,2020
32,32,111656,EGY,W,MESHREF Dina,6480,6580,14,0,2020
34,35,110560,CAN,W,ZHANG Mo,6385,6385,14,0,2020
35,33,111882,POL,W,LI Qian,6320,6480,14,0,2020
36,42,133000,JPN,W,HASHIMOTO Honoka,6180,6020,14,0,2020
37,39,123848,JPN,W,SHIBATA Saki,6150,6150,14,0,2020
38,36,107321,UKR,W,PESOTSKA Margaryta,6065,6240,14,0,2020
39,41,114726,GER,W,MITTELHAM Nina,6045,6045,14,0,2020
40,38,115760,CHN,W,GU Yuting,5985,6210,14,0,2020
41,40,111833,THA,W,SAWETTABUT Suthasini,5960,6060,14,0,2020
42,43,106706,LUX,W,NI Xia Lian,5945,5945,14,0,2020
43,50,111849,GER,W,SHAN ^ Xiaona,5920,5470,14,0,2020
44,47,112868,MON,W,YANG ^ Xiaoxin,5895,5495,14,0,2020
45,44,105159,HKG,W,LEE Ho Ching,5835,5835,14,0,2020
46,45,106114,RUS,W,MIKHAILOVA Polina,5790,5790,14,0,2020
47,46,121623,BRA,W,TAKAHASHI Bruna,5680,5680,14,0,2020
48,37,102472,SWE,W,EKHOLM Matilda,5665,6220,14,0,2020
49,53,131036,JPN,W,KIHARA Miyuu,5530,5395,14,0,2020
50,55,111628,SGP,W,YU Mengyu,5495,5180,14,0,2020
51,51,105913,CZE,W,MATELOVA Hana,5450,5450,14,0,2020
52,52,115781,PRK,W,KIM Song I,5420,5420,14,0,2020
53,49,107525,HUN,W,POTA Georgina,5410,5480,14,0,2020
54,56,100868,SVK,W,BALAZOVA Barbora,5270,5170,14,0,2020
55,48,102863,POR,W,YU ^ Fu,5155,5490,14,0,2020
56,59,124591,JPN,W,NAGASAKI Miyu,5010,4785,14,0,2020
57,53,114706,TPE,W,CHENG Hsien-Tzu,4945,5395,14,0,2020
58,58,111772,NED,W,LI Jie,4845,4845,14,0,2020
59,60,118786,SGP,W,LIN Ye,4730,4710,14,0,2020
60,61,106788,RUS,W,NOSKOVA Yana,4710,4610,14,0,2020
61,74,123112,CHN,W,ZHANG Rui,4635,3960,14,0,2020
62,64,121401,POR,W,SHAO ^ Jieni,4600,4510,14,0,2020
63,62,115920,IND,W,BATRA Manika,4575,4575,14,0,2020
64,57,131401,KOR,W,CHOI Hyojoo,4560,4875,14,0,2020
65,71,119542,JPN,W,MORI Sakura,4495,4035,14,0,2020
66,63,111213,HUN,W,MADARASZ Dora,4465,4535,14,0,2020
67,72,123508,CHN,W,LIU Fei,4440,3990,14,0,2020
68,65,112463,PUR,W,DIAZ Melanie,4405,4475,14,0,2020
69,66,102949,UKR,W,GAPONOVA Ganna,4320,4310,14,0,2020
70,67,107177,POL,W,PARTYKA Natalia,4268,4260,14,0,2020
71,68,132251,PRK,W,CHA Hyo Sim,4215,4215,14,0,2020
72,69,110995,ITA,W,VIVARELLI Debora,4200,4200,14,0,2020
73,70,111072,ESP,W,XIAO Maria,4195,4195,14,0,2020
74,82,131342,SGP,W,ZENG ^^ Jian,4055,3660,14,0,2020
75,74,109777,CHI,W,VEGA Paulina,4053,3960,14,0,2020
76,77,107302,HUN,W,PERGEL Szandra,3945,3945,14,0,2020
77,84,112280,LUX,W,DE NUTTE Sarah,3940,3620,14,0,2020
78,93,102427,ESP,W,DVORAK Galia,3900,3455,14,0,2020
79,78,108843,AUT,W,SOLJA Amelie,3860,3835,14,0,2020
80,79,114905,SWE,W,BERGSTROM Linda,3730,3730,14,0,2020
81,80,112368,KOR,W,YANG Haeun,3710,3710,14,0,2020
82,72,123847,JPN,W,ANDO Minami,3663,3990,14,0,2020
83,127,133895,CHN,W,SUN Mingyang,3645,2970,14,0,2020
84,83,113300,TPE,W,LIU Hsing-Yin,3630,3630,14,0,2020
84,87,112357,FRA,W,GASNIER Laura,3630,3530,14,0,2020
86,81,111416,SUI,W,MORET Rachel,3590,3705,14,0,2020
87,85,120972,THA,W,PARANANG Orawan,3545,3545,14,0,2020
88,86,135179,JPN,W,OJIO Haruna,3535,3535,14,0,2020
89,89,123505,HKG,W,ZHU Chengzhu,3495,3495,14,0,2020
90,92,132095,JPN,W,SHIOMI Maki,3465,3465,14,0,2020
91,95,112356,FRA,W,LOEUILLETTE Stephanie,3453,3445,14,0,2020
92,94,115454,POL,W,BAJOR Natalia,3450,3450,14,0,2020
93,98,115430,ENG,W,HO Tin-Tin,3433,3355,14,0,2020
94,96,123977,KOR,W,SHIN Yubin,3405,3405,14,0,2020
95,109,117365,IND,W,MUKHERJEE Sutirtha,3380,3190,14,0,2020
96,97,123232,PRK,W,KIM Nam Hae,3375,3375,14,0,2020
97,115,120187,SRB,W,LUPULESKU Izabela,3370,3130,14,0,2020
98,102,113711,ROU,W,CIOBANU Irina,3358,3280,14,0,2020
99,90,113908,EGY,W,HELMY Yousra,3340,3485,14,0,2020
100,99,133894,CHN,W,LIU Weishan,3330,3330,14,0,2020
101,100,121881,BLR,W,TRIGOLOS Daria,3320,3320,14,0,2020
101,125,137894,FRA,W,YUAN ^ Jia Nan,3320,2995,14,0,2020
103,90,133405,JPN,W,ODO Satsuki,3283,3485,14,0,2020
104,103,120560,BLR,W,BOGDANOVA Nadezhda,3250,3250,14,0,2020
105,104,105469,AUT,W,LIU Jia,3245,3245,14,0,2020
106,105,105111,AUS,W,LAY Jian Fang,3240,3240,14,0,2020
106,105,119285,KOR,W,LEE Zion,3240,3240,14,0,2020
108,107,102316,ROU,W,MONTEIRO DODEAN Daniela,3230,3230,14,0,2020
109,108,115902,CHN,W,ZHANG Qiang,3215,3215,14,0,2020
110,136,113942,CZE,W,ADAMKOVA Karin,3208,2860,14,0,2020
111,121,120777,BEL,W,LUNG Lisa,3183,3060,14,0,2020
112,110,106660,HKG,W,NG Wing Nam,3175,3175,14,0,2020
113,100,108875,UKR,W,BILENKO Tetyana,3160,3320,14,0,2020
113,111,111871,RUS,W,VOROBEVA Olga,3160,3160,14,0,2020
115,125,115413,ITA,W,PICCOLIN Giorgia,3143,2995,14,0,2020
116,113,117294,CHI,W,ORTEGA Daniela,3140,3140,14,0,2020
117,124,119109,ARG,W,ARGUELLES Camila,3138,3015,14,0,2020
118,116,112453,CRO,W,JEGER Mateja,3115,3115,14,0,2020
119,131,117455,BUL,W,YOVKOVA Maria,3103,2925,14,0,2020
120,112,102445,NGR,W,EDEM Offiong,3091,3156,14,0,2020
121,137,109453,SRB,W,TODOROVIC Andrea,3090,2850,14,0,2020
122,118,103425,CMR,W,HANFFOU Sarah,3075,3075,14,0,2020
123,74,123113,KOR,W,KIM ^ Hayeong,3060,3960,14,0,2020
124,118,121706,RUS,W,TAILAKOVA Mariia,3045,3075,14,0,2020
125,129,115402,ESP,W,ZHANG Sofia-Xuan,3040,2965,14,0,2020
126,122,117819,AUT,W,HAMAMOTO ^^ Yui,3035,3035,14,0,2020
127,88,111066,GER,W,WINTER Sabine,3000,3510,14,0,2020
128,117,122052,KOR,W,LEE Eunhye,2980,3095,14,0,2020
129,135,107194,IND,W,PATKAR Madhurika,2975,2865,14,0,2020
130,127,119022,USA,W,WANG Amy,2970,2970,14,0,2020
131,129,104793,THA,W,KOMWONG Nanthana,2965,2965,14,0,2020
132,113,119537,IND,W,MUKHERJEE Ayhika,2945,3140,14,0,2020
133,143,111053,ARG,W,CODINA Ana,2903,2735,14,0,2020
134,134,116874,FRA,W,ZARIF Audrey,2870,2870,14,0,2020
135,123,115216,EGY,W,EL-ERAKY Reem,2860,3025,14,0,2020
136,120,113309,MEX,W,SILVA Yadira,2850,3070,14,0,2020
136,141,123684,IND,W,KAMATH Archana Girish,2850,2745,14,0,2020
138,138,121074,SRB,W,SURJAN Sabina,2835,2835,14,0,2020
139,139,119529,CHN,W,FAN Siqi,2825,2825,14,0,2020
140,151,117009,BEL,W,MARCHETTI Nathalie,2745,2550,14,0,2020
141,132,121714,SVK,W,KUKULKOVA Tatiana,2735,2915,14,0,2020
142,144,133026,TUR,W,YILMAZ Ozge,2715,2715,14,0,2020
143,145,110286,BRA,W,YAMADA Jessica,2680,2680,14,0,2020
144,146,115850,GRE,W,TOLIOU Aikaterini,2660,2660,14,0,2020
145,148,113418,BRA,W,KUMAHARA Caroline,2645,2645,14,0,2020
146,149,103352,CZE,W,CECHOVA Dana,2585,2615,14,0,2020
146,150,102714,CHN,W,FENG Yalan,2585,2585,14,0,2020
148,151,117370,JPN,W,MATSUDAIRA Shiho,2550,2550,14,0,2020
149,146,118893,AUT,W,MISCHEK Karoline,2545,2660,14,0,2020
150,154,122716,TPE,W,SU Pei-Ling,2530,2530,14,0,2020
151,165,122718,IND,W,AKULA Sreeja,2525,2355,14,0,2020
152,155,111601,CHN,W,MU Zi,2520,2520,14,0,2020
152,155,113587,WAL,W,CAREY Charlotte,2520,2520,14,0,2020
154,157,118774,BEL,W,DEGRAEF Margo,2510,2510,14,0,2020
155,167,104923,CZE,W,SIRUCKOVA Aneta,2498,2320,14,0,2020
156,158,116880,NED,W,VERMAAS Kim,2475,2475,14,0,2020
157,161,114085,SLO,W,GALIC Alex,2440,2440,14,0,2020
158,141,100032,EGY,W,ABDEL-AZIZ Farah,2415,2745,14,0,2020
159,163,117334,CHN,W,LI Jiayi,2395,2395,14,0,2020
160,164,110226,CHN,W,WU Yang,2385,2385,14,0,2020
161,133,114158,KOR,W,YOO Eunchong,2380,2885,14,0,2020
161,159,116921,FRA,W,CHASSELIN Pauline,2380,2465,14,0,2020
163,166,118777,GER,W,WAN Yuan,2340,2340,14,0,2020
164,168,123894,THA,W,SAWETTABUT Jinnipa,2300,2300,14,0,2020
165,140,117463,ROU,W,DIACONU Adina,2295,2750,14,0,2020
166,153,118168,TPE,W,LIN Chia-Hsuan,2260,2540,14,0,2020
166,170,117891,KAZ,W,LAVROVA Anastassiya,2260,2250,14,0,2020
168,171,115104,ALG,W,KESSACI Katia,2245,2245,14,0,2020
169,161,124162,TPE,W,LI Yu-Jhun,2185,2440,14,0,2020
170,174,109272,AUS,W,TAPPER Melissa,2160,2160,14,0,2020
171,175,123228,KAZ,W,AKASHEVA Zauresh,2155,2155,14,0,2020
172,176,120125,SWE,W,BERGAND Filippa,2135,2135,14,0,2020
173,169,118685,RUS,W,SHCHERBATYKH Valeria,2125,2285,14,0,2020
174,177,106995,NGR,W,OSHONAIKE Olufunke,2120,2120,14,0,2020
174,177,111346,CHI,W,MORALES Judith,2120,2120,14,0,2020
176,180,114893,ITA,W,COLANTONI Chiara,2115,2082,14,0,2020
176,190,117035,IND,W,ROY Krittwika,2115,1940,14,0,2020
178,186,116873,FRA,W,MIGOT Marie,2113,1990,14,0,2020
179,179,117142,ALG,W,LOGHRAIBI Lynda,2085,2085,14,0,2020
180,182,113997,BIH,W,HADZIAHMETOVIC Emina,2035,2035,14,0,2020
181,183,105779,CRO,W,MALOBABIC Ivana,2020,2020,14,0,2020
182,185,112462,PUR,W,RIOS Daniely,1995,1995,14,0,2020
183,199,112944,TUR,W,ALTINKAYA Sibel,1990,1830,14,0,2020
184,184,106917,POR,W,OLIVEIRA Leila,1950,2015,14,0,2020
184,188,103283,POL,W,GRZYBOWSKA-FRANC Katarzyna,1950,1950,14,0,2020
186,192,134995,JPN,W,SOMA Yumeno,1925,1925,14,0,2020
187,193,122082,ITA,W,LAURENTI Jamila,1915,1915,14,0,2020
187,193,118868,HUN,W,HARTBRICH Leonie,1915,1915,14,0,2020
189,181,122348,UKR,W,BRATEYKO Solomiya,1910,2080,14,0,2020
190,188,123579,SGP,W,GOI Rui Xuan,1905,1950,14,0,2020
191,172,123575,SGP,W,WONG Xin Ru,1900,2230,14,0,2020
191,195,110762,NOR,W,MA ^^ Wenting,1900,1900,14,0,2020
193,160,107221,BLR,W,PAVLOVICH Viktoria,1895,2445,14,0,2020
194,196,113878,GUA,W,ENRIQUEZ Mabelyn,1890,1890,14,0,2020
195,197,113161,TUR,W,HU Melek,1870,1870,14,0,2020
196,191,120051,ENG,W,TSAPTSINOS Maria,1850,1935,14,0,2020
197,187,116674,GER,W,MANTZ Chantal,1845,1980,14,0,2020
198,198,118507,SWE,W,KALLBERG Christina,1835,1835,14,0,2020
199,201,114127,HKG,W,LI Ching Wan,1810,1810,14,0,2020
200,202,121888,RUS,W,KOLISH Anastasia,1805,1805,14,0,2020
200,202,122272,ESP,W,GARCIA Ana,1805,1805,14,0,2020
200,202,111517,DOM,W,BRITO Eva,1805,1805,14,0,2020
203,206,117150,TUN,W,GARCI Fadwa,1770,1770,14,0,2020
204,173,131047,ESP,W,LIU ^^ Xin,1765,2190,14,0,2020
205,207,113943,CRO,W,JAZBEC Ida,1727,1727,14,0,2020
206,208,115051,RUS,W,MALANINA Maria,1715,1715,14,0,2020
207,209,115043,NOR,W,DOVAL Ilka,1710,1710,14,0,2020
208,212,122660,NGR,W,OJOMU Ajoke,1675,1675,14,0,2020
209,213,117811,HKG,W,MAK Tze Wing,1670,1670,14,0,2020
210,216,135086,AUS,W,FENG Chunyi,1644,1644,14,0,2020
211,217,101000,AUS,W,BROMLEY Michelle,1640,1640,14,0,2020
212,205,114897,HUN,W,BALINT Bernadett,1625,1795,14,0,2020
213,219,123791,RSA,W,MOOKREY Simeen,1611,1611,14,0,2020
