Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,105649,CHN,M,MA Long,3275,3199,0,1,2016
2,2,121404,CHN,M,FAN Zhendong,3232,3168,0,1,2016
3,3,110267,CHN,M,XU Xin,3142,3108,0,1,2016
4,4,107028,GER,M,OVTCHAROV Dimitrij,2928,2938,0,1,2016
5,5,110553,CHN,M,ZHANG Jike,2914,2873,0,1,2016
6,6,106195,JPN,M,MIZUTANI Jun,2775,2811,0,1,2016
7,9,101820,TPE,M,CHUANG Chih-Yuan,2712,2706,0,1,2016
8,8,102841,POR,M,FREITAS Marcos,2695,2708,0,1,2016
9,10,111606,CHN,M,FANG Bo,2679,2679,0,1,2016
10,11,108246,BLR,M,SAMSONOV Vladimir,2627,2618,0,1,2016
11,12,112620,HKG,M,WONG Chun Ting,2611,2616,0,1,2016
12,13,104257,KOR,M,JEOUNG Youngsik,2609,2594,0,1,2016
13,14,110729,JPN,M,NIWA Koki,2557,2569,0,1,2016
14,15,104212,KOR,M,JOO Saehyuk,2548,2548,0,1,2016
15,17,113059,CHN,M,YAN An,2543,2543,0,1,2016
16,16,109253,HKG,M,TANG Peng,2510,2546,0,1,2016
17,18,105197,KOR,M,LEE Sangsu,2508,2486,0,1,2016
18,24,121752,JPN,M,OSHIMA Yuya,2494,2406,0,1,2016
19,19,102943,SGP,M,GAO Ning,2474,2474,0,1,2016
20,20,102891,CRO,M,GACINA Andrej,2472,2472,0,1,2016
21,21,117113,JPN,M,YOSHIMURA Maharu,2463,2463,0,1,2016
22,22,102697,AUT,M,FEGERL Stefan,2436,2436,0,1,2016
23,23,102968,AUT,M,GARDOS Robert,2433,2433,0,1,2016
24,26,103107,GRE,M,GIONIS Panagiotis,2419,2401,0,1,2016
25,25,114936,KOR,M,JANG Woojin,2408,2404,0,1,2016
26,29,105926,JPN,M,MATSUDAIRA Kenta,2381,2381,0,1,2016
27,26,100621,POR,M,APOLONIA Tiago,2377,2401,0,1,2016
28,28,112580,JPN,M,MORIZONO Masataka,2367,2391,0,1,2016
29,31,100696,EGY,M,ASSAR Omar,2358,2358,0,1,2016
30,32,103037,SWE,M,GERELL Par,2353,2353,0,1,2016
31,33,105339,QAT,M,LI ^ Ping,2350,2350,0,1,2016
32,34,112062,FRA,M,GAUZY Simon,2346,2346,0,1,2016
32,30,119588,CHN,M,LIANG Jingkun,2346,2366,0,1,2016
34,35,108581,RUS,M,SHIBAEV Alexander,2344,2344,0,1,2016
35,36,102761,GER,M,FILUS Ruwen,2330,2330,0,1,2016
36,38,104379,SWE,M,KARLSSON Kristian,2325,2325,0,1,2016
37,39,108958,GER,M,STEGER Bastian,2315,2315,0,1,2016
38,40,106296,POR,M,MONTEIRO Joao,2301,2301,0,1,2016
39,41,111791,KOR,M,KIM Minseok,2297,2297,0,1,2016
40,43,105937,FRA,M,MATTENET Adrien,2293,2293,0,1,2016
41,44,102832,GER,M,FRANZISKA Patrick,2287,2287,0,1,2016
42,45,104128,HKG,M,JIANG Tianyi,2285,2285,0,1,2016
43,41,113336,KOR,M,KIM Donghyun,2284,2297,0,1,2016
44,46,109581,BRA,M,TSUBOI Gustavo,2283,2283,0,1,2016
45,47,112074,SWE,M,FALCK Mattias,2278,2278,0,1,2016
46,48,100982,GER,M,BAUM Patrick,2271,2271,0,1,2016
47,37,115439,JPN,M,MURAMATSU Yuto,2270,2326,0,1,2016
48,49,110411,JPN,M,YOSHIDA Masaki,2263,2269,0,1,2016
48,50,112092,NGR,M,ARUNA Quadri,2263,2263,0,1,2016
50,51,105966,DEN,M,MAZE Michael,2262,2262,0,1,2016
51,52,113165,UKR,M,KOU Lei,2257,2257,0,1,2016
52,53,112735,SVK,M,WANG Yang,2256,2256,0,1,2016
53,57,101674,AUT,M,CHEN Weixing,2243,2243,0,1,2016
54,58,108604,JPN,M,SHIONO Masato,2239,2239,0,1,2016
55,59,105321,SGP,M,LI ^ Hu,2227,2227,0,1,2016
56,60,110410,JPN,M,YOSHIDA Kaii,2225,2225,0,1,2016
57,61,114247,CAN,M,WANG ^ Eugene,2223,2223,0,1,2016
58,56,106050,GER,M,MENGEL Steffen,2220,2250,0,1,2016
59,62,103202,POL,M,GORAK Daniel,2212,2212,0,1,2016
60,63,110002,POL,M,WANG Zengyi,2207,2207,0,1,2016
61,55,123690,HKG,M,HO Kwan Kit,2205,2251,0,1,2016
61,64,112442,ENG,M,PITCHFORD Liam,2205,2205,0,1,2016
63,65,103345,AUT,M,HABESOHN Daniel,2204,2204,0,1,2016
64,68,105609,SWE,M,LUNDQVIST Jens,2195,2195,0,1,2016
65,69,109459,SLO,M,TOKIC Bojan,2192,2192,0,1,2016
66,70,108742,RUS,M,SKACHKOV Kirill,2191,2191,0,1,2016
67,71,104314,IND,M,ACHANTA Sharath Kamal,2183,2183,0,1,2016
68,72,101979,ROU,M,CRISAN Adrian,2174,2174,0,1,2016
69,54,116853,SWE,M,KALLBERG Anton,2173,2255,0,1,2016
70,66,102380,ENG,M,DRINKHALL Paul,2172,2196,0,1,2016
70,73,109865,RUS,M,VLASOV Grigory,2172,2172,0,1,2016
70,66,101747,KOR,M,CHO Eonrae,2172,2196,0,1,2016
73,75,112409,DEN,M,GROTH Jonathan,2166,2166,0,1,2016
74,76,105136,FRA,M,LEBESSON Emmanuel,2162,2162,0,1,2016
75,77,101711,TPE,M,CHIANG Hung-Chieh,2160,2160,0,1,2016
76,78,105497,RUS,M,LIVENTSOV Alexey,2159,2159,0,1,2016
77,74,115641,BRA,M,CALDERANO Hugo,2154,2170,0,1,2016
78,79,116658,TUR,M,LI ^ Ahmet,2149,2149,0,1,2016
79,80,107578,CZE,M,PROKOPCOV Dmitrij,2143,2143,0,1,2016
80,81,109234,CRO,M,TAN Ruiwu,2141,2141,0,1,2016
81,82,104359,SRB,M,KARAKASEVIC Aleksandar,2137,2137,0,1,2016
82,83,107312,SWE,M,PERSSON Jon,2129,2129,0,1,2016
83,84,107196,HUN,M,PATTANTYUS Adam,2126,2126,0,1,2016
83,89,115396,POR,M,GERALDO Joao,2126,2100,0,1,2016
85,85,112445,FRA,M,BROSSIER Benjamin,2110,2113,0,1,2016
86,88,109188,JPN,M,TAKAKIWA Taku,2105,2105,0,1,2016
87,115,123729,DEN,M,ZHAI ^^ Yujia,2100,2002,0,1,2016
88,90,103518,ESP,M,HE Zhiwen,2098,2098,0,1,2016
88,90,111033,JPN,M,MATSUDAIRA Kenji,2098,2098,0,1,2016
90,92,104795,CZE,M,KONECNY Tomas,2097,2097,0,1,2016
90,92,101192,ITA,M,BOBOCICA Mihai,2097,2097,0,1,2016
92,94,104892,GRE,M,KREANGA Kalinikos,2096,2096,0,1,2016
93,87,113685,FRA,M,OUAICHE Stephane,2089,2107,0,1,2016
94,95,109946,GER,M,WALTHER Ricardo,2088,2088,0,1,2016
94,95,103070,IND,M,GHOSH Soumyajit,2088,2088,0,1,2016
96,97,102537,FRA,M,ELOI Damien,2080,2080,0,1,2016
97,98,113931,POL,M,DYJAS Jakub,2078,2078,0,1,2016
98,99,104675,JPN,M,KISHIKAWA Seiya,2070,2070,0,1,2016
98,99,104036,CZE,M,JANCARIK Lubomir,2070,2070,0,1,2016
100,102,120313,JPN,M,SAMBE Kohei,2049,2053,0,1,2016
