Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,0,105649,CHN,M,MA Long,3049,0,0,1,2014
2,0,110267,CHN,M,XU Xin,3002,0,0,1,2014
3,0,110553,CHN,M,ZHANG Jike,2882,0,0,1,2014
4,0,109961,CHN,M,WANG Hao,2841,0,0,1,2014
5,0,121404,CHN,M,FAN Zhendong,2837,0,0,1,2014
6,0,107028,GER,M,OVTCHAROV Dimitrij,2787,0,0,1,2014
7,0,113059,CHN,M,YAN An,2706,0,0,1,2014
8,0,101222,GER,M,BOLL Timo,2660,0,0,1,2014
9,0,101820,TPE,M,CHUANG Chih-Yuan,2620,0,0,1,2014
10,0,108246,BLR,M,SAMSONOV Vladimir,2591,0,0,1,2014
11,0,105648,CHN,M,MA Lin,2508,0,0,1,2014
12,0,109974,CHN,M,WANG Liqin,2504,0,0,1,2014
13,0,106195,JPN,M,MIZUTANI Jun,2494,0,0,1,2014
14,0,103434,CHN,M,HAO Shuai,2451,0,0,1,2014
15,0,102841,POR,M,FREITAS Marcos,2412,0,0,1,2014
16,0,105926,JPN,M,MATSUDAIRA Kenta,2408,0,0,1,2014
17,0,118761,CHN,M,ZHOU Yu,2406,0,0,1,2014
18,0,110729,JPN,M,NIWA Koki,2400,0,0,1,2014
19,0,104212,KOR,M,JOO Saehyuk,2377,0,0,1,2014
20,0,102943,SGP,M,GAO Ning,2371,0,0,1,2014
21,0,109253,HKG,M,TANG Peng,2369,0,0,1,2014
22,0,101668,CHN,M,CHEN Qi,2368,0,0,1,2014
23,0,108958,GER,M,STEGER Bastian,2343,0,0,1,2014
23,0,100982,GER,M,BAUM Patrick,2343,0,0,1,2014
25,0,101648,TPE,M,CHEN Chien-An,2325,0,0,1,2014
26,0,108098,KOR,M,RYU Seungmin,2293,0,0,1,2014
27,0,101979,ROU,M,CRISAN Adrian,2282,0,0,1,2014
28,0,105966,DEN,M,MAZE Michael,2279,0,0,1,2014
29,0,111791,KOR,M,KIM Minseok,2270,0,0,1,2014
30,0,104675,JPN,M,KISHIKAWA Seiya,2259,0,0,1,2014
30,0,102891,CRO,M,GACINA Andrej,2259,0,0,1,2014
32,0,110543,SGP,M,ZHAN ^ Jian,2258,0,0,1,2014
33,0,103107,GRE,M,GIONIS Panagiotis,2252,0,0,1,2014
34,0,104128,HKG,M,JIANG Tianyi,2248,0,0,1,2014
35,0,100621,POR,M,APOLONIA Tiago,2243,0,0,1,2014
36,0,109188,JPN,M,TAKAKIWA Taku,2230,0,0,1,2014
37,0,106884,KOR,M,OH Sangeun,2229,0,0,1,2014
38,0,104257,KOR,M,JEOUNG Youngsik,2228,0,0,1,2014
38,0,105176,KOR,M,LEE Jungwoo,2228,0,0,1,2014
40,0,108581,RUS,M,SHIBAEV Alexander,2214,0,0,1,2014
41,0,102968,AUT,M,GARDOS Robert,2212,0,0,1,2014
42,0,114455,JPN,M,CHAN Kazuhiro,2208,0,0,1,2014
43,0,101747,KOR,M,CHO Eonrae,2201,0,0,1,2014
44,0,108780,RUS,M,SMIRNOV Alexey,2200,0,0,1,2014
44,0,110410,JPN,M,YOSHIDA Kaii,2200,0,0,1,2014
44,0,111606,CHN,M,FANG Bo,2200,0,0,1,2014
47,0,108604,JPN,M,SHIONO Masato,2198,0,0,1,2014
48,0,102832,GER,M,FRANZISKA Patrick,2189,0,0,1,2014
49,0,104580,PRK,M,KIM Hyok Bong,2183,0,0,1,2014
50,0,104314,IND,M,ACHANTA Sharath Kamal,2180,0,0,1,2014
51,0,109234,CRO,M,TAN Ruiwu,2175,0,0,1,2014
52,0,105937,FRA,M,MATTENET Adrien,2174,0,0,1,2014
52,0,105321,SGP,M,LI ^ Hu,2174,0,0,1,2014
54,0,109459,SLO,M,TOKIC Bojan,2173,0,0,1,2014
55,0,112442,ENG,M,PITCHFORD Liam,2172,0,0,1,2014
56,0,105197,KOR,M,LEE Sangsu,2163,0,0,1,2014
57,0,101674,AUT,M,CHEN Weixing,2150,0,0,1,2014
58,0,108742,RUS,M,SKACHKOV Kirill,2144,0,0,1,2014
59,0,109102,GER,M,SUSS Christian,2134,0,0,1,2014
60,0,115909,CHN,M,LIU Yi,2129,0,0,1,2014
61,0,111033,JPN,M,MATSUDAIRA Kenji,2127,0,0,1,2014
62,0,115910,CHN,M,LIN Gaoyuan,2126,0,0,1,2014
63,0,110673,IRI,M,ALAMIYAN Noshad,2121,0,0,1,2014
64,0,103037,SWE,M,GERELL Par,2119,0,0,1,2014
65,0,111595,KOR,M,JEONG Sangeun,2116,0,0,1,2014
65,0,114247,CAN,M,WANG ^ Eugene,2116,0,0,1,2014
67,0,103518,ESP,M,HE Zhiwen,2112,0,0,1,2014
67,0,104595,KOR,M,KIM Junghoon,2112,0,0,1,2014
69,0,108379,AUT,M,SCHLAGER Werner,2111,0,0,1,2014
70,0,105609,SWE,M,LUNDQVIST Jens,2107,0,0,1,2014
71,0,104892,GRE,M,KREANGA Kalinikos,2106,0,0,1,2014
72,0,100696,EGY,M,ASSAR Omar,2103,0,0,1,2014
73,0,110330,SGP,M,YANG Zi,2100,0,0,1,2014
74,0,107578,CZE,M,PROKOPCOV Dmitrij,2094,0,0,1,2014
74,0,102697,AUT,M,FEGERL Stefan,2094,0,0,1,2014
76,0,102761,GER,M,FILUS Ruwen,2092,0,0,1,2014
76,0,112580,JPN,M,MORIZONO Masataka,2092,0,0,1,2014
78,0,109581,BRA,M,TSUBOI Gustavo,2088,0,0,1,2014
79,0,105497,RUS,M,LIVENTSOV Alexey,2086,0,0,1,2014
80,0,112062,FRA,M,GAUZY Simon,2081,0,0,1,2014
81,0,106296,POR,M,MONTEIRO Joao,2079,0,0,1,2014
82,0,105136,FRA,M,LEBESSON Emmanuel,2078,0,0,1,2014
83,0,111884,KOR,M,SEO Hyundeok,2076,0,0,1,2014
84,0,105666,ESP,M,MACHADO Carlos,2075,0,0,1,2014
85,0,103345,AUT,M,HABESOHN Daniel,2073,0,0,1,2014
86,0,115439,JPN,M,MURAMATSU Yuto,2071,0,0,1,2014
86,0,105928,BRA,M,MATSUMOTO Cazuo,2071,0,0,1,2014
88,0,103202,POL,M,GORAK Daniel,2069,0,0,1,2014
89,0,101711,TPE,M,CHIANG Hung-Chieh,2068,0,0,1,2014
90,0,110002,POL,M,WANG Zengyi,2065,0,0,1,2014
91,0,114655,TUR,M,VANG Bora,2063,0,0,1,2014
92,0,104379,SWE,M,KARLSSON Kristian,2054,0,0,1,2014
93,0,102537,FRA,M,ELOI Damien,2051,0,0,1,2014
94,0,112436,FRA,M,ROBINOT Quentin,2049,0,0,1,2014
95,0,107567,CRO,M,PRIMORAC Zoran,2046,0,0,1,2014
95,0,101707,HKG,M,CHEUNG Yuk,2046,0,0,1,2014
97,0,116658,TUR,M,LI ^ Ahmet,2045,0,0,1,2014
97,0,105281,HKG,M,LEUNG Chu Yan,2045,0,0,1,2014
99,0,117343,CHN,M,XU Chenhao,2044,0,0,1,2014
99,0,116408,CHN,M,SHANG Kun,2044,0,0,1,2014
101,0,119588,CHN,M,LIANG Jingkun,2037,0,0,1,2014
