Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,117332,CHN,W,ZHU Yuling,3468,3416,0,12,2017
2,2,112019,CHN,W,CHEN Meng,3385,3283,0,12,2017
3,0,102265,CHN,W,DING Ning,3342,3330,0,12,2017
4,3,105482,CHN,W,LIU Shiwen,3277,3277,0,12,2017
5,4,110752,JPN,W,ISHIKAWA Kasumi,3255,3196,0,12,2017
6,5,117820,JPN,W,HIRANO Miu,3133,3133,0,12,2017
7,9,131163,CHN,W,SUN Yingsha,3112,3012,0,12,2017
8,10,121411,CHN,W,WANG Manyu,3095,2979,0,12,2017
9,6,117821,JPN,W,ITO Mima,3075,3108,0,12,2017
10,33,121403,CHN,W,CHEN Xingtong,3019,2726,0,12,2017
11,8,102712,SGP,W,FENG Tianwei,3012,3015,0,12,2017
12,7,110797,TPE,W,CHENG I-Ching,2991,3029,0,12,2017
13,11,118762,GER,W,HAN Ying,2928,2955,0,12,2017
14,12,122261,JPN,W,SATO Hitomi,2924,2904,0,12,2017
14,14,123672,JPN,W,HAYATA Hina,2924,2863,0,12,2017
16,0,110226,CHN,W,WU Yang,2897,2866,0,12,2017
17,22,115760,CHN,W,GU Yuting,2887,2809,0,12,2017
18,17,117822,JPN,W,KATO Miyu,2886,2832,0,12,2017
19,18,115543,HKG,W,DOO Hoi Kem,2865,2822,0,12,2017
20,15,118994,KOR,W,JEON Jihee,2855,2850,0,12,2017
21,13,133000,JPN,W,HASHIMOTO Honoka,2853,2886,0,12,2017
22,20,108470,KOR,W,SUH Hyowon,2835,2818,0,12,2017
23,16,111772,NED,W,LI Jie,2827,2846,0,12,2017
24,23,115781,PRK,W,KIM Song I,2801,2801,0,12,2017
25,27,105159,HKG,W,LEE Ho Ching,2794,2786,0,12,2017
26,21,114105,TPE,W,CHEN Szu-Yu,2790,2815,0,12,2017
27,19,111849,GER,W,SHAN ^ Xiaona,2788,2821,0,12,2017
28,30,123848,JPN,W,SHIBATA Saki,2780,2749,0,12,2017
29,0,102714,CHN,W,FENG Yalan,2765,0,0,12,2017
30,26,108226,ROU,W,SAMARA Elizabeta,2759,2790,0,12,2017
30,61,119789,CHN,W,CHEN Ke,2759,2498,0,12,2017
32,34,105469,AUT,W,LIU Jia,2758,2722,0,12,2017
32,24,119542,JPN,W,MORI Sakura,2758,2799,0,12,2017
34,25,131342,SGP,W,ZENG ^^ Jian,2733,2793,0,12,2017
35,29,107525,HUN,W,POTA Georgina,2731,2751,0,12,2017
35,31,113161,TUR,W,HU Melek,2731,2736,0,12,2017
37,39,107477,AUT,W,POLCANOVA Sofia,2722,2681,0,12,2017
38,28,117819,JPN,W,HAMAMOTO ^^ Yui,2715,2757,0,12,2017
39,37,111628,SGP,W,YU Mengyu,2712,2703,0,12,2017
40,35,111065,GER,W,SOLJA Petrissa,2709,2709,0,12,2017
41,37,111882,POL,W,LI Qian,2707,2703,0,12,2017
42,36,102863,POR,W,YU ^ Fu,2705,2708,0,12,2017
43,0,104124,HKG,W,JIANG Huajun,2685,2641,0,12,2017
44,32,112368,KOR,W,YANG Haeun,2681,2731,0,12,2017
45,40,102472,SWE,W,EKHOLM Matilda,2674,2673,0,12,2017
46,0,109421,HKG,W,TIE Yana,2661,2677,0,12,2017
47,0,111608,CHN,W,LI Xiaodan,2655,0,0,12,2017
48,42,102316,ROU,W,MONTEIRO DODEAN Daniela,2651,2651,0,12,2017
49,44,104599,KOR,W,KIM Kyungah,2630,2639,0,12,2017
50,46,119530,CHN,W,GU Ruochen,2629,2629,0,12,2017
51,41,132095,JPN,W,SHIOMI Maki,2622,2657,0,12,2017
52,48,115037,HKG,W,SOO Wai Yam Minnie,2618,2605,0,12,2017
53,43,131401,KOR,W,CHOI Hyojoo,2612,2650,0,12,2017
54,0,110074,CHN,W,WEN Jia,2609,0,0,12,2017
55,44,118787,SGP,W,ZHOU ^ Yihan,2605,2639,0,12,2017
56,62,115902,CHN,W,ZHANG Qiang,2601,2490,0,12,2017
57,47,110753,JPN,W,MORIZONO Misaki,2590,2621,0,12,2017
57,49,111012,ROU,W,SZOCS Bernadette,2590,2591,0,12,2017
59,51,105311,SWE,W,LI ^ Fen,2574,2582,0,12,2017
60,50,106706,LUX,W,NI Xia Lian,2552,2584,0,12,2017
61,52,110560,CAN,W,ZHANG Mo,2547,2579,0,12,2017
62,67,106114,RUS,W,MIKHAILOVA Polina,2542,2466,0,12,2017
62,56,123847,JPN,W,ANDO Minami,2542,2539,0,12,2017
64,54,113617,JPN,W,MAEDA Miyu,2528,2575,0,12,2017
65,57,111066,GER,W,WINTER Sabine,2522,2528,0,12,2017
66,206,133895,CHN,W,SUN Mingyang,2498,1913,0,12,2017
67,73,114706,TPE,W,CHENG Hsien-Tzu,2494,2419,0,12,2017
68,59,106660,HKG,W,NG Wing Nam,2489,2507,0,12,2017
69,0,115903,CHN,W,SHENG Dandan,2488,0,0,12,2017
70,58,108875,UKR,W,BILENKO Tetyana,2485,2519,0,12,2017
71,64,107221,BLR,W,PAVLOVICH Viktoria,2483,2484,0,12,2017
72,55,111833,THA,W,SAWETTABUT Suthasini,2481,2541,0,12,2017
73,103,124591,JPN,W,NAGASAKI Miyu,2479,2272,0,12,2017
74,63,116450,JPN,W,MATSUZAWA Marina,2476,2486,0,12,2017
75,60,113701,NED,W,EERLAND Britt,2473,2500,0,12,2017
76,66,119531,CHN,W,LIU Gaoyang,2470,2470,0,12,2017
77,86,123112,CHN,W,ZHANG Rui,2466,2353,0,12,2017
77,67,132250,PRK,W,CHOE (1992) Hyon Hwa,2466,2466,0,12,2017
79,53,123833,JPN,W,KATO Kyoka,2457,2576,0,12,2017
80,0,115913,CHN,W,LIU Xi,2450,0,0,12,2017
81,71,115009,PUR,W,DIAZ Adriana,2447,2439,0,12,2017
82,65,107177,POL,W,PARTYKA Natalia,2443,2475,0,12,2017
83,70,115027,JPN,W,MORIZONO Mizuki,2442,2441,0,12,2017
84,0,117334,CHN,W,LI Jiayi,2439,0,0,12,2017
85,94,124110,CHN,W,WANG Yidi,2419,2320,0,12,2017
86,69,103752,TPE,W,HUANG Yi-Hua,2415,2462,0,12,2017
87,74,121401,POR,W,SHAO ^ Jieni,2409,2417,0,12,2017
88,72,109680,CZE,W,VACENOVSKA Iveta,2408,2420,0,12,2017
89,75,107321,UKR,W,PESOTSKA Margaryta,2404,2405,0,12,2017
90,0,100868,SVK,W,BALAZOVA Barbora,2403,0,0,12,2017
91,92,119797,CHN,W,QIAN Tianyi,2402,2331,0,12,2017
92,76,112221,USA,W,ZHANG Lily,2399,2399,0,12,2017
93,77,107843,PRK,W,RI Mi Gyong,2398,2398,0,12,2017
94,80,134790,JPN,W,SASAO Asuka,2388,2388,0,12,2017
95,0,119285,KOR,W,LEE Zion,2386,2385,0,12,2017
96,83,122052,KOR,W,LEE Eunhye,2377,2367,0,12,2017
97,79,123120,CHN,W,SHI Xunyao,2376,2396,0,12,2017
98,85,110531,RUS,W,DOLGIKH Maria,2370,2357,0,12,2017
98,87,117463,ROU,W,DIACONU Adina,2370,2350,0,12,2017
100,84,132186,CHN,W,SUN Chen,2364,2364,0,12,2017
101,78,104793,THA,W,KOMWONG Nanthana,2363,2397,0,12,2017
101,89,111072,ESP,W,XIAO Maria,2363,2344,0,12,2017
103,90,114726,GER,W,MITTELHAM Nina,2353,2338,0,12,2017
103,81,118786,SGP,W,LIN Ye,2353,2384,0,12,2017
105,88,106788,RUS,W,NOSKOVA Yana,2339,2345,0,12,2017
106,106,131036,JPN,W,KIHARA Miyuu,2338,2256,0,12,2017
107,82,105913,CZE,W,MATELOVA Hana,2336,2371,0,12,2017
108,91,103283,POL,W,GRZYBOWSKA-FRANC Katarzyna,2335,2335,0,12,2017
109,0,112369,KOR,W,SONG Maeum,2323,2344,0,12,2017
110,92,111656,EGY,W,MESHREF Dina,2315,2331,0,12,2017
111,95,109426,RUS,W,TIKHOMIROVA Anna,2307,2310,0,12,2017
112,96,102949,UKR,W,GAPONOVA Ganna,2288,2305,0,12,2017
112,98,109010,CZE,W,STRBIKOVA Renata,2288,2296,0,12,2017
114,102,105164,TPE,W,LEE I-Chen,2286,2275,0,12,2017
115,97,107302,HUN,W,PERGEL Szandra,2281,2304,0,12,2017
116,100,101770,KOR,W,CHOI Moonyoung,2280,2280,0,12,2017
