Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,112019,CHN,W,CHEN Meng,16565,16965,49,0,2019
2,3,131163,CHN,W,SUN Yingsha,15715,14895,49,0,2019
3,2,105482,CHN,W,LIU Shiwen,14955,15360,49,0,2019
4,7,117821,JPN,W,ITO Mima,14590,13340,49,0,2019
5,4,117332,CHN,W,ZHU Yuling,14010,14330,49,0,2019
6,5,121411,CHN,W,WANG Manyu,13875,14210,49,0,2019
7,6,102265,CHN,W,DING Ning,13690,13910,49,0,2019
8,11,110797,TPE,W,CHENG I-Ching,11680,11360,49,0,2019
9,9,102712,SGP,W,FENG Tianwei,11610,11660,49,0,2019
10,8,110752,JPN,W,ISHIKAWA Kasumi,11515,11805,49,0,2019
11,10,117820,JPN,W,HIRANO Miu,11325,11375,49,0,2019
12,12,121403,CHN,W,CHEN Xingtong,10580,10710,49,0,2019
13,13,119730,CHN,W,HE Zhuojia,9755,10030,49,0,2019
14,17,107477,AUT,W,POLCANOVA Sofia,9095,8870,49,0,2019
15,14,115543,HKG,W,DOO Hoi Kem,9060,9915,49,0,2019
16,20,118994,KOR,W,JEON Jihee,9020,8420,49,0,2019
17,19,122261,JPN,W,SATO Hitomi,8805,8485,49,0,2019
18,23,124110,CHN,W,WANG Yidi,8790,7825,49,0,2019
19,16,108470,KOR,W,SUH Hyowon,8120,8930,49,0,2019
20,18,111012,ROU,W,SZOCS Bernadette,7910,8540,49,0,2019
21,15,111065,GER,W,SOLJA Petrissa,7885,9025,49,0,2019
22,24,115009,PUR,W,DIAZ Adriana,7820,7820,49,0,2019
23,21,117822,JPN,W,KATO Miyu,7545,8130,49,0,2019
24,25,123672,JPN,W,HAYATA Hina,7520,7570,49,0,2019
25,27,114105,TPE,W,CHEN Szu-Yu,7060,7435,49,0,2019
26,33,112221,USA,W,ZHANG Lily,6780,6800,49,0,2019
27,26,110560,CAN,W,ZHANG Mo,6765,7550,49,0,2019
28,29,115037,HKG,W,SOO Wai Yam Minnie,6750,7035,49,0,2019
29,31,118762,GER,W,HAN Ying,6680,6905,49,0,2019
30,28,108226,ROU,W,SAMARA Elizabeta,6645,7330,49,0,2019
31,36,111656,EGY,W,MESHREF Dina,6580,6580,49,0,2019
32,30,123848,JPN,W,SHIBATA Saki,6575,7025,49,0,2019
33,37,110227,USA,W,WU Yue,6500,6500,49,0,2019
34,40,111882,POL,W,LI Qian,6480,6040,49,0,2019
35,39,102472,SWE,W,EKHOLM Matilda,6220,6220,49,0,2019
36,35,107321,UKR,W,PESOTSKA Margaryta,6020,6645,49,0,2019
37,54,115760,CHN,W,GU Yuting,5895,5130,49,0,2019
38,42,107525,HUN,W,POTA Georgina,5870,5870,49,0,2019
39,38,105159,HKG,W,LEE Ho Ching,5835,6375,49,0,2019
40,32,102863,POR,W,YU ^ Fu,5805,6840,49,0,2019
41,49,114726,GER,W,MITTELHAM Nina,5765,5540,49,0,2019
42,47,111833,THA,W,SAWETTABUT Suthasini,5755,5615,49,0,2019
43,43,106706,LUX,W,NI Xia Lian,5650,5855,49,0,2019
43,71,119797,CHN,W,QIAN Tianyi,5650,4185,49,0,2019
45,48,113701,NED,W,EERLAND Britt,5545,5575,49,0,2019
46,34,133000,JPN,W,HASHIMOTO Honoka,5535,6680,49,0,2019
47,44,106114,RUS,W,MIKHAILOVA Polina,5475,5835,49,0,2019
48,46,105913,CZE,W,MATELOVA Hana,5450,5765,49,0,2019
49,51,121623,BRA,W,TAKAHASHI Bruna,5430,5430,49,0,2019
50,22,115781,PRK,W,KIM Song I,5420,8045,49,0,2019
51,52,131036,JPN,W,KIHARA Miyuu,5395,5350,49,0,2019
52,45,111628,SGP,W,YU Mengyu,5270,5785,49,0,2019
53,56,114706,TPE,W,CHENG Hsien-Tzu,5220,5085,49,0,2019
54,41,100868,SVK,W,BALAZOVA Barbora,5170,5925,49,0,2019
55,55,111772,NED,W,LI Jie,5115,5115,49,0,2019
56,65,111849,GER,W,SHAN ^ Xiaona,4770,4545,49,0,2019
57,57,112868,MON,W,YANG ^ Xiaoxin,4725,5005,49,0,2019
58,50,124591,JPN,W,NAGASAKI Miyu,4695,5460,49,0,2019
59,60,107177,POL,W,PARTYKA Natalia,4620,4730,49,0,2019
60,68,131401,KOR,W,CHOI Hyojoo,4560,4335,49,0,2019
61,61,115920,IND,W,BATRA Manika,4495,4675,49,0,2019
