Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,2,121404,CHN,M,FAN Zhendong,17915,16915,14,0,2020
2,1,110267,CHN,M,XU Xin,17260,17260,14,0,2020
3,3,105649,CHN,M,MA Long,15525,16335,14,0,2020
4,5,123980,JPN,M,HARIMOTO Tomokazu,13245,13245,14,0,2020
5,4,115910,CHN,M,LIN Gaoyuan,13240,13915,14,0,2020
6,7,115641,BRA,M,CALDERANO Hugo,12315,12315,14,0,2020
7,6,121582,TPE,M,LIN Yun-Ju,12160,12585,14,0,2020
8,9,119588,CHN,M,LIANG Jingkun,11205,11205,14,0,2020
9,8,112074,SWE,M,FALCK Mattias,11065,11630,14,0,2020
10,10,101222,GER,M,BOLL Timo,10910,10910,14,0,2020
11,11,107028,GER,M,OVTCHAROV Dimitrij,10445,10445,14,0,2020
12,17,121558,CHN,M,WANG Chuqin,9785,8770,14,0,2020
13,12,110729,JPN,M,NIWA Koki,9570,9570,14,0,2020
14,13,104257,KOR,M,JEOUNG Youngsik,9555,9555,14,0,2020
15,22,112442,ENG,M,PITCHFORD Liam,9320,8240,14,0,2020
16,14,102832,GER,M,FRANZISKA Patrick,9050,9455,14,0,2020
17,15,106195,JPN,M,MIZUTANI Jun,9045,9270,14,0,2020
18,16,114936,KOR,M,JANG Woojin,8835,9015,14,0,2020
19,21,112062,FRA,M,GAUZY Simon,8755,8350,14,0,2020
20,18,112092,NGR,M,ARUNA Quadri,8710,8710,14,0,2020
21,19,112620,HKG,M,WONG Chun Ting,8695,8695,14,0,2020
22,20,105197,KOR,M,LEE Sangsu,8620,8620,14,0,2020
23,23,134380,CHN,M,ZHAO Zihao,7750,7750,14,0,2020
24,24,104379,SWE,M,KARLSSON Kristian,7195,7195,14,0,2020
25,26,102841,POR,M,FREITAS Marcos,7190,7010,14,0,2020
26,27,108246,BLR,M,SAMSONOV Vladimir,7120,6815,14,0,2020
27,25,116021,USA,M,JHA Kanak,7050,7050,14,0,2020
28,28,112409,DEN,M,GROTH Jonathan,6780,6780,14,0,2020
28,29,102968,AUT,M,GARDOS Robert,6780,6555,14,0,2020
30,37,101820,TPE,M,CHUANG Chih-Yuan,6520,5945,14,0,2020
31,38,104314,IND,M,ACHANTA Sharath Kamal,6460,5910,14,0,2020
32,31,103126,IND,M,GNANASEKARAN Sathiyan,6335,6510,14,0,2020
33,32,112735,SVK,M,WANG Yang,6330,6305,14,0,2020
34,33,118927,SLO,M,JORGIC Darko,6175,6175,14,0,2020
