Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
88,119,124591,JPN,W,NAGASAKI Miyu,2352,2206,0,12,2016
89,85,109426,RUS,W,TIKHOMIROVA Anna,2337,2337,0,12,2016
89,85,131163,CHN,W,SUN Yingsha,2337,2337,0,12,2016
91,89,109010,CZE,W,STRBIKOVA Renata,2335,2326,0,12,2016
91,91,105913,CZE,W,MATELOVA Hana,2335,2323,0,12,2016
94,0,115027,JPN,W,MORIZONO Mizuki,2330,1973,0,12,2016
94,84,112221,USA,W,ZHANG Lily,2330,2338,0,12,2016
95,87,115009,PUR,W,DIAZ Adriana,2328,2328,0,12,2016
95,87,107573,BLR,W,PRIVALOVA Alexandra,2328,2328,0,12,2016
97,90,107576,RUS,W,PROKHOROVA Yulia,2327,2324,0,12,2016
98,110,115920,IND,W,BATRA Manika,2319,2239,0,12,2016
99,0,117371,JPN,W,SO Eka,2308,2208,0,12,2016
100,93,114706,TPE,W,CHENG Hsien-Tzu,2305,2313,0,12,2016
101,94,106864,SVK,W,ODOROVA Eva,2304,2312,0,12,2016
101,94,111072,ESP,W,XIAO Maria,2304,2312,0,12,2016
103,96,107302,HUN,W,PERGEL Szandra,2295,2295,0,12,2016
104,100,102949,UKR,W,GAPONOVA Ganna,2291,2283,0,12,2016
105,97,102427,ESP,W,DVORAK Galia,2290,2290,0,12,2016
106,99,119797,CHN,W,QIAN Tianyi,2285,2285,0,12,2016
107,0,112926,USA,W,ZHENG Jiaqi,2278,2214,0,12,2016
108,101,105111,AUS,W,LAY Jian Fang,2277,2277,0,12,2016
109,98,108843,AUT,W,SOLJA Amelie,2272,2288,0,12,2016
110,104,119285,KOR,W,LEE Zion,2270,2270,0,12,2016
111,107,114726,GER,W,MITTELHAM Nina,2259,2247,0,12,2016
112,103,101376,LTU,W,PASKAUSKIENE Ruta,2257,2272,0,12,2016
113,105,111151,ROU,W,IACOB Camelia,2255,2255,0,12,2016
114,112,113592,JPN,W,TASHIRO Saki,2247,2221,0,12,2016
115,108,115557,KOR,W,JUNG Yumi,2245,2245,0,12,2016
116,109,111656,EGY,W,MESHREF Dina,2241,2241,0,12,2016
117,106,105344,AUT,W,LI Qiangbing,2238,2252,0,12,2016
118,111,119089,KOR,W,YOON Hyobin,2223,2223,0,12,2016
119,112,113711,ROU,W,CIOBANU Irina,2221,2221,0,12,2016
120,118,113420,BRA,W,GUI Lin,2220,2207,0,12,2016
121,115,111416,SUI,W,MORET Rachel,2213,2216,0,12,2016
122,117,112280,LUX,W,DE NUTTE Sarah,2211,2210,0,12,2016
123,114,117463,ROU,W,DIACONU Adina,2203,2219,0,12,2016
124,125,109954,USA,W,WANG Chen,2202,2177,0,12,2016
125,119,113300,TPE,W,LIU Hsing-Yin,2198,2206,0,12,2016
126,116,107698,ESP,W,RAMIREZ Sara,2192,2212,0,12,2016
127,0,115565,THA,W,KHETKHUAN Tamolwan,2188,2075,0,12,2016
127,130,110762,NOR,W,MA ^^ Wenting,2188,2161,0,12,2016
129,122,103352,CZE,W,CECHOVA Dana,2187,2205,0,12,2016
130,124,120846,KOR,W,KIM Jiho,2179,2179,0,12,2016
131,126,113418,BRA,W,KUMAHARA Caroline,2170,2170,0,12,2016
132,127,105404,TPE,W,LIN Chia-Hui,2166,2166,0,12,2016
133,128,119078,KOR,W,CHOI Yelin,2164,2164,0,12,2016
134,129,110227,USA,W,WU Yue,2163,2163,0,12,2016
135,131,113309,MEX,W,SILVA Yadira,2159,2159,0,12,2016
135,0,109414,CRO,W,TIAN Yuan,2159,2159,0,12,2016
137,0,122052,KOR,W,LEE Eunhye,2158,2195,0,12,2016
138,133,108117,RUS,W,SABITOVA Valentina,2151,2158,0,12,2016
139,175,117811,HKG,W,MAK Tze Wing,2149,1971,0,12,2016
140,135,116674,GER,W,MANTZ Chantal,2144,2146,0,12,2016
141,136,102079,IND,W,DAS Mouma,2141,2141,0,12,2016
142,139,114085,SLO,W,GALIC Alex,2132,2112,0,12,2016
143,134,108956,POL,W,STEFANSKA Kinga,2128,2156,0,12,2016
144,137,117338,JPN,W,AMANO Yu,2127,2127,0,12,2016
145,140,109453,SRB,W,TODOROVIC Andrea,2126,2111,0,12,2016
146,154,111177,TPE,W,LIN Chia-Chih,2109,2045,0,12,2016
147,138,111871,RUS,W,VOROBEVA Olga,2096,2119,0,12,2016
148,142,134245,PRK,W,HO Jin Hyang,2095,2095,0,12,2016
149,141,116874,FRA,W,ZARIF Audrey,2094,2098,0,12,2016
150,144,113650,RUS,W,BLAZHKO Anna,2092,2092,0,12,2016
150,155,121513,JPN,W,TAKEUCHI Kana,2092,2041,0,12,2016
152,146,122428,ROU,W,DRAGOMAN Andreea,2087,2071,0,12,2016
153,145,104974,POL,W,KUSINSKA Klaudia,2073,2089,0,12,2016
154,0,119676,KOR,W,JI Eunchae,2065,2013,0,12,2016
155,150,109237,AUS,W,DEDERKO Zhenhua,2063,2063,0,12,2016
156,151,115454,POL,W,BAJOR Natalia,2062,2054,0,12,2016
157,142,116921,FRA,W,CHASSELIN Pauline,2053,2095,0,12,2016
158,152,108352,RUS,W,SAVELYEVA Antonina,2052,2052,0,12,2016
158,149,109556,RUS,W,KUZMINA Elena,2052,2065,0,12,2016
160,158,112357,FRA,W,GASNIER Laura,2046,2023,0,12,2016
161,161,114905,SWE,W,BERGSTROM Linda,2043,2007,0,12,2016
162,162,103738,TPE,W,HSIUNG Nai-I,2042,2003,0,12,2016
163,156,114456,CGO,W,HAN Xing,2039,2039,0,12,2016
164,176,114732,BLR,W,ARLOUSKAYA Alina,2037,1970,0,12,2016
165,157,131036,JPN,W,KIHARA Miyuu,2034,2034,0,12,2016
166,158,133317,AZE,W,NING ^ Jing,2023,2023,0,12,2016
167,181,121706,RUS,W,TAILAKOVA Mariia,2016,1960,0,12,2016
168,165,108642,ENG,W,SIBLEY Kelly,2012,1996,0,12,2016
169,163,118168,TPE,W,LIN Chia-Hsuan,2002,1998,0,12,2016
170,160,117823,JPN,W,KATO Yuko,2001,2010,0,12,2016
171,171,111212,HUN,W,AMBRUS Krisztina,1999,1982,0,12,2016
172,189,121881,BLR,W,TRIGOLOS Daria,1996,1938,0,12,2016
173,167,131368,JPN,W,ODONO Yui,1994,1994,0,12,2016
173,167,114897,HUN,W,BALINT Bernadett,1994,1994,0,12,2016
175,170,118777,GER,W,WAN Yuan,1991,1985,0,12,2016
175,0,107156,KOR,W,PARK Joohyun,1991,1898,0,12,2016
177,165,122704,TPE,W,LIN Po-Hsuan,1988,1996,0,12,2016
178,172,115051,RUS,W,MALANINA Maria,1981,1981,0,12,2016
179,174,114132,TPE,W,LIU Yu-Hsin,1974,1974,0,12,2016
180,173,112356,FRA,W,LOEUILLETTE Stephanie,1973,1975,0,12,2016
181,169,122716,TPE,W,SU Pei-Ling,1969,1987,0,12,2016
182,183,115402,ESP,W,ZHANG Sofia-Xuan,1964,1958,0,12,2016
183,178,106659,MAS,W,NG Sock Khim,1962,1962,0,12,2016
184,184,116873,FRA,W,MIGOT Marie,1961,1956,0,12,2016
184,180,119537,IND,W,MUKHERJEE Ayhika,1961,1961,0,12,2016
186,184,123325,RUS,W,KULIKOVA Olga,1954,1956,0,12,2016
187,186,112944,TUR,W,ALTINKAYA Sibel,1952,1952,0,12,2016
188,177,113653,RUS,W,GUSEVA Ekaterina,1950,1967,0,12,2016
188,187,119692,KOR,W,PARK Seri,1950,1950,0,12,2016
190,226,114517,CZE,W,TOMANOVSKA Katerina,1945,1822,0,12,2016
191,181,124162,TPE,W,LI Yu-Jhun,1944,1960,0,12,2016
192,188,101416,RUS,W,VINOGRADOVA Mariia,1943,1943,0,12,2016
193,190,121623,BRA,W,TAKAHASHI Bruna,1934,1934,0,12,2016
193,191,115430,ENG,W,HO Tin-Tin,1930,1929,0,12,2016
194,195,116160,TPE,W,WANG Yi-Ju,1928,1916,0,12,2016
195,194,118752,FRA,W,LENNON Emmanuelle,1918,1918,0,12,2016
195,193,115850,GRE,W,TOLIOU Aikaterini,1918,1921,0,12,2016
197,197,115759,KOR,W,LEE Yearam,1912,1912,0,12,2016
198,190,108657,POL,W,SIKORSKA Magdalena,1908,1930,0,12,2016
199,198,112453,CRO,W,JEGER Mateja,1907,1909,0,12,2016
199,199,108051,COL,W,RUANO Lady,1907,1907,0,12,2016
201,200,104484,HUN,W,KERTAI Rita,1905,1905,0,12,2016
