Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,110267,CHN,M,XU Xin,3043,3061,0,1,2015
2,2,105649,CHN,M,MA Long,3023,3023,0,1,2015
3,3,121404,CHN,M,FAN Zhendong,2955,2976,0,1,2015
4,4,110553,CHN,M,ZHANG Jike,2861,2861,0,1,2015
5,5,106195,JPN,M,MIZUTANI Jun,2838,2755,0,1,2015
6,7,107028,GER,M,OVTCHAROV Dimitrij,2746,2677,0,1,2015
7,6,109961,CHN,M,WANG Hao,2743,2743,0,1,2015
8,8,101820,TPE,M,CHUANG Chih-Yuan,2681,2650,0,1,2015
9,9,101222,GER,M,BOLL Timo,2623,2623,0,1,2015
10,11,102841,POR,M,FREITAS Marcos,2599,2552,0,1,2015
11,10,113059,CHN,M,YAN An,2576,2600,0,1,2015
12,13,110729,JPN,M,NIWA Koki,2529,2496,0,1,2015
13,12,108246,BLR,M,SAMSONOV Vladimir,2517,2497,0,1,2015
14,17,109253,HKG,M,TANG Peng,2503,2438,0,1,2015
15,14,102943,SGP,M,GAO Ning,2477,2477,0,1,2015
16,15,111606,CHN,M,FANG Bo,2449,2449,0,1,2015
17,16,104212,KOR,M,JOO Saehyuk,2448,2448,0,1,2015
18,18,100621,POR,M,APOLONIA Tiago,2446,2426,0,1,2015
19,20,101648,TPE,M,CHEN Chien-An,2335,2347,0,1,2015
20,35,119532,CHN,M,YU Ziyang,2325,2225,0,1,2015
21,21,103107,GRE,M,GIONIS Panagiotis,2321,2339,0,1,2015
22,23,101747,KOR,M,CHO Eonrae,2317,2298,0,1,2015
23,22,105926,JPN,M,MATSUDAIRA Kenta,2316,2316,0,1,2015
24,30,115439,JPN,M,MURAMATSU Yuto,2312,2256,0,1,2015
25,28,106050,GER,M,MENGEL Steffen,2307,2280,0,1,2015
26,24,102891,CRO,M,GACINA Andrej,2293,2293,0,1,2015
27,25,102968,AUT,M,GARDOS Robert,2288,2288,0,1,2015
28,27,108958,GER,M,STEGER Bastian,2284,2284,0,1,2015
29,29,101979,ROU,M,CRISAN Adrian,2266,2266,0,1,2015
30,31,112092,NGR,M,ARUNA Quadri,2246,2246,0,1,2015
31,32,105176,KOR,M,LEE Jungwoo,2237,2237,0,1,2015
32,33,104675,JPN,M,KISHIKAWA Seiya,2235,2235,0,1,2015
33,45,102380,ENG,M,DRINKHALL Paul,2225,2206,0,1,2015
34,37,112580,JPN,M,MORIZONO Masataka,2224,2220,0,1,2015
35,36,110410,JPN,M,YOSHIDA Kaii,2222,2222,0,1,2015
36,39,104257,KOR,M,JEOUNG Youngsik,2215,2215,0,1,2015
37,41,112062,FRA,M,GAUZY Simon,2213,2213,0,1,2015
38,42,105937,FRA,M,MATTENET Adrien,2212,2212,0,1,2015
39,39,104379,SWE,M,KARLSSON Kristian,2209,2215,0,1,2015
40,38,109581,BRA,M,TSUBOI Gustavo,2206,2218,0,1,2015
41,43,106296,POR,M,MONTEIRO Joao,2201,2210,0,1,2015
42,48,119588,CHN,M,LIANG Jingkun,2200,2196,0,1,2015
43,46,104128,HKG,M,JIANG Tianyi,2197,2197,0,1,2015
44,46,102832,GER,M,FRANZISKA Patrick,2197,2197,0,1,2015
45,44,103037,SWE,M,GERELL Par,2196,2208,0,1,2015
46,49,112442,ENG,M,PITCHFORD Liam,2195,2195,0,1,2015
47,50,111595,KOR,M,JEONG Sangeun,2193,2193,0,1,2015
48,55,112620,HKG,M,WONG Chun Ting,2192,2171,0,1,2015
49,52,109865,RUS,M,VLASOV Grigory,2186,2186,0,1,2015
50,53,104314,IND,M,ACHANTA Sharath Kamal,2184,2184,0,1,2015
51,57,101674,AUT,M,CHEN Weixing,2169,2169,0,1,2015
52,58,108581,RUS,M,SHIBAEV Alexander,2167,2167,0,1,2015
53,54,105136,FRA,M,LEBESSON Emmanuel,2165,2177,0,1,2015
55,59,110002,POL,M,WANG Zengyi,2164,2164,0,1,2015
55,56,101192,ITA,M,BOBOCICA Mihai,2164,2170,0,1,2015
56,61,115641,BRA,M,CALDERANO Hugo,2157,2151,0,1,2015
57,60,117113,JPN,M,YOSHIMURA Maharu,2155,2155,0,1,2015
58,61,109459,SLO,M,TOKIC Bojan,2151,2151,0,1,2015
59,63,102697,AUT,M,FEGERL Stefan,2150,2150,0,1,2015
60,63,105321,SGP,M,LI ^ Hu,2150,2150,0,1,2015
61,65,109234,CRO,M,TAN Ruiwu,2149,2149,0,1,2015
62,67,102761,GER,M,FILUS Ruwen,2145,2145,0,1,2015
63,68,108742,RUS,M,SKACHKOV Kirill,2144,2144,0,1,2015
64,68,104580,PRK,M,KIM Hyok Bong,2144,2144,0,1,2015
65,68,101711,TPE,M,CHIANG Hung-Chieh,2138,2144,0,1,2015
66,71,105609,SWE,M,LUNDQVIST Jens,2131,2143,0,1,2015
67,74,108780,RUS,M,SMIRNOV Alexey,2131,2131,0,1,2015
68,76,114247,CAN,M,WANG ^ Eugene,2128,2128,0,1,2015
69,73,113165,UKR,M,KOU Lei,2126,2132,0,1,2015
70,78,103518,ESP,M,HE Zhiwen,2117,2117,0,1,2015
71,77,121752,JPN,M,OSHIMA Yuya,2112,2118,0,1,2015
72,79,109946,GER,M,WALTHER Ricardo,2111,2111,0,1,2015
73,97,111826,JPN,M,MACHI Asuka,2106,2049,0,1,2015
74,80,103202,POL,M,GORAK Daniel,2103,2103,0,1,2015
75,81,112735,SVK,M,WANG Yang,2099,2099,0,1,2015
76,82,105928,BRA,M,MATSUMOTO Cazuo,2094,2094,0,1,2015
77,85,103345,AUT,M,HABESOHN Daniel,2087,2087,0,1,2015
